niche,sub_service,specific_service,phrase,urgency,outcome,paid
pest control,rodents,mice / rat control,I think they're like field rats or something,routine,no_sale,1
pest control,rodents,mice / rat control,We found a little field mice in our kitchen,urgent,callback,1
pest control,rodents,mice / rat control,we're mainly wanting sanitation services,routine,callback,1
pest control,rodents,mice / rat control,We're a third-party maintenance company,routine,no_sale,0
pest control,rodents,mice / rat control,"Yeah, we've seen them in the kitchen.",routine,not_connected,0
pest control,rodents,mice / rat control,a spot in the attic that they went in,urgent,booked,1
pest control,rodents,mice / rat control,I'm seeing mice and ants. in my home,routine,not_connected,1
pest control,rodents,mice / rat control,I'm seeing it throughout our house.,routine,not_connected,0
pest control,rodents,mice / rat control,critters crawling around my attic,routine,no_sale,0
pest control,rodents,mice / rat control,I'm interested in mice control.,routine,booked,1
pest control,rodents,mice / rat control,getting rid of a couple of mice,routine,no_sale,1
pest control,rodents,mice / rat control,"possible rodents, moles, voles",routine,not_connected,0
pest control,rodents,mice / rat control,we have some mice in our home.,routine,no_sale,0
pest control,rodents,mice / rat control,Mouse excrement in my house.,routine,callback,1
pest control,rodents,mice / rat control,We have rats in our basement,routine,no_sale,0
pest control,rodents,mice / rat control,do you guys deal with mice?,routine,no_sale,1
pest control,rodents,mice / rat control,do you guys help with mice?,routine,quoted,1
pest control,rodents,mice / rat control,"Well, mainly mouse and rat.",routine,no_sale,0
pest control,rodents,mice / rat control,holes in the flower garden,routine,not_connected,0
pest control,rodents,mice / rat control,Small rodent in the garage,routine,no_sale,0
pest control,rodents,mice / rat control,We have mice at our cabin,routine,no_sale,0
pest control,rodents,mice / rat control,Rodent abatement survey.,routine,no_sale,0
pest control,rodents,mice / rat control,he brought a live one in,routine,not_connected,1
pest control,rodents,mice / rat control,some rodents in my attic,routine,no_sale,0
pest control,rodents,mice / rat control,it's mice and chipmunks,routine,no_sale,0
pest control,rodents,mice / rat control,I'm calling for mouse.,unknown,no_sale,0
pest control,rodents,mice / rat control,we're seeing droppings,routine,unknown,1
pest control,rodents,mice / rat control,Mice in the basement.,routine,no_sale,0
pest control,rodents,mice / rat control,Mice. M-I-C-E. Mice.,routine,no_sale,0
pest control,rodents,mice / rat control,I think they're rats,routine,no_sale,0
pest control,rodents,mice / rat control,"Rodents, everywhere.",unknown,no_sale,0
pest control,rodents,mice / rat control,Squirrels in my wall,routine,no_sale,0
pest control,rodents,mice / rat control,it will be a rodent,routine,unknown,1
pest control,rodents,mice / rat control,deal with some mice,urgent,booked,1
pest control,rodents,mice / rat control,Snakeskin shedding,routine,not_connected,0
pest control,rodents,mice / rat control,I think it's mice.,routine,no_sale,1
pest control,rodents,mice / rat control,Dealing with mice.,routine,not_connected,0
pest control,rodents,mice / rat control,Mice in the house.,unknown,no_sale,0
pest control,rodents,mice / rat control,she's seeing mice,routine,booked,1
pest control,rodents,mice / rat control,"Mice, maybe rats.",routine,not_connected,0
pest control,rodents,mice / rat control,It's a rental.,routine,no_sale,0
pest control,rodents,mice / rat control,Rodent in car.,unknown,not_connected,0
pest control,rodents,mice / rat control,"Rodent, small",routine,no_sale,1
pest control,rodents,mice / rat control,Oh the garage,routine,no_sale,1
pest control,rodents,mice / rat control,Mouse. Mice.,unknown,no_sale,0
pest control,rodents,mice / rat control,Mouse.,unknown,not_connected,0
pest control,rodents,mice / rat control,Mice.,unknown,no_sale,0
pest control,rodents,rodent droppings cleanup,We might have some wasps that we need to take care of.,routine,unknown,1
pest control,rodents,rodent droppings cleanup,We're looking for a one-time cleanup of rat toppings.,routine,no_sale,1
pest control,rodents,rodent droppings cleanup,I'm looking to get a free quote on mice termination.,urgent,booked,0
pest control,rodents,rodent droppings cleanup,they're getting into cracks in the basement.,urgent,booked,0
pest control,rodents,rodent droppings cleanup,We just need the rat droppings cleaned,routine,no_sale,1
pest control,rodents,rodent droppings cleanup,"inspection and, yeah, repair",routine,no_sale,0
pest control,rodents,rodent droppings cleanup,I have a mouse problem.,routine,unknown,1
pest control,rodents,rodent droppings cleanup,they're coming back,routine,no_sale,0
pest control,rodents,rodent droppings cleanup,we're finding mouse droppings like everywhere we look now in the basement,urgent,booked,0
pest control,rodents,rodent droppings cleanup,we have some mice that we've seen some droppings of and we've seen live,routine,no_sale,0
pest control,rodents,rodent droppings cleanup,they seem to be dropping down into the bathroom from the attic,urgent,quoted,1
pest control,rodents,rodent droppings cleanup,I just want all my stuff to be clean so I can move it out,routine,no_sale,1
pest control,rodents,rodent droppings cleanup,"cleaning services for a storage locker, rodent-related",routine,no_sale,1
pest control,rodents,rodent droppings cleanup,"get someone to come evaluate it, clean up the poop",routine,booked,1
pest control,rodents,rodent droppings cleanup,tell me what kind of pest is leaving that dropping,routine,booked,1
pest control,rodents,rodent droppings cleanup,found droppings behind the baseboards,routine,booked,1
pest control,rodents,rodent droppings cleanup,they appear to be carpenter ants,urgent,quoted,1
pest control,rodents,rodent droppings cleanup,it appears right now to be ants,urgent,quoted,1
pest control,rodents,rodent droppings cleanup,we have rat droppings in both,routine,no_sale,1
pest control,rodents,rodent droppings cleanup,we're seeing droppings,routine,unknown,1
pest control,rodents,rodent droppings cleanup,I think it's mice.,routine,no_sale,1
pest control,rodents,mice in attic / walls,I discovered what seems to be a mouse infestation in my attic last night.,routine,no_sale,0
pest control,rodents,mice in attic / walls,"I have a mouse issue, and I'm not sure how infiltrated I am.",urgent,unknown,1
pest control,rodents,mice in attic / walls,I'd like someone to come out and take a look at removal.,routine,no_sale,0
pest control,rodents,mice in attic / walls,It's a mouse problem and inside wall from the garage.,urgent,unknown,1
pest control,rodents,mice in attic / walls,I need something to come out and remove,routine,no_sale,0
pest control,rodents,mice in attic / walls,I'm looking for pest control.,routine,no_sale,0
pest control,rodents,mice in attic / walls,I have mice and occasional rats that get into the basement in the house that I want to get rid of,routine,no_sale,1
pest control,rodents,mice in attic / walls,we have to figure out how to get these things out or unfortunately kill them or whatever.,routine,no_sale,0
pest control,rodents,mice in attic / walls,I have moles in the yard that make ugly mounds on my grass that I don't like,routine,no_sale,1
pest control,rodents,mice in attic / walls,I have some kind of a larger creature that has eaten through my cedar fence,routine,no_sale,1
pest control,rodents,mice in attic / walls,Do you have somebody that can come out and take a look and give me a quote?,urgent,unknown,1
pest control,rodents,mice in attic / walls,"Kitchen for the ants, bathroom for the ants, and mice, my garage.",routine,no_sale,0
pest control,rodents,mice in attic / walls,it looked like something had been eating into the wall,routine,no_sale,1
pest control,rodents,mice in attic / walls,If it's a mouse into the insulation or what,routine,no_sale,1
pest control,rodents,mice in attic / walls,"Sounds here in my basement, my garage.",routine,no_sale,0
pest control,rodents,mice in attic / walls,We have rats in our basement,routine,no_sale,0
pest control,rodents,mice in attic / walls,some rodents in my attic,routine,no_sale,0
pest control,rodents,mice in attic / walls,Mice in the basement.,routine,no_sale,0
pest control,rodents,mice in attic / walls,It's a rental.,routine,no_sale,0
pest control,rodents,mice in attic / walls,Ants and mice.,routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,I'm just looking for a wildlife exclusion inspection and treatment for the house,routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,we have a mice problem inside our home,routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,we may have some carpenter ant issues,urgent,unknown,1
pest control,rodents,rodent exclusion / proofing,"inspection and, yeah, repair",routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,they're coming back,routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,"I'm interested in having someone work on my house to prevent entry of scorpions, exclusion of scorpions.",routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,"seal off where they're coming in and actually, like, decontaminate the area under there",urgent,booked,1
pest control,rodents,rodent exclusion / proofing,"after you guys kill the rodents, mice, whatever, you do preventative applications",routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,give me an estimate for some items that were found during my inspection process,urgent,unknown,1
pest control,rodents,rodent exclusion / proofing,some areas within the garage that the inspector believes mice are getting into,urgent,unknown,1
pest control,rodents,rodent exclusion / proofing,Not just setting up bait threats to catch them and let them go die somewhere.,routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,we have some mice that we've seen some droppings of and we've seen live,routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,people who focus on mice in terms of inspection and exclusion services,routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,we trapped like seven mice out of the crawl space,urgent,booked,1
pest control,rodents,rodent exclusion / proofing,Block holes? Fill holes? What do you guys do?,routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,We did have a bird in the attic at one point,routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,"My house is located in Torrey, Utah",routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,Scorpion exclusion.,routine,no_sale,0
pest control,rodents,rodent exclusion / proofing,deal with some mice,urgent,booked,1
pest control,rodents,dead rodent removal,"something smelling under, I think it's underneath my deck stairs",urgent,no_sale,0
pest control,rodents,dead rodent removal,I have a foul smell coming from the floor vent in my house.,routine,no_sale,0
pest control,rodents,dead rodent removal,I just wanted to know if y'all do any dead animal removal,routine,callback,1
pest control,rodents,dead rodent removal,There's like a strong smell coming out of like the ducts,urgent,booked,1
pest control,rodents,dead rodent removal,I have a mouse problem that I need help with,urgent,booked,1
pest control,rodents,dead rodent removal,I need someone to come out and fix it.,urgent,no_sale,0
pest control,rodents,dead rodent removal,"I don't see it, but I just smell it",routine,callback,1
pest control,rodents,dead rodent removal,I just saw one kind of poke his head out like 20 minutes ago,urgent,booked,1
pest control,rodents,dead rodent removal,"I believe it's a rodent, like a mouse",routine,callback,1
pest control,rodents,dead rodent removal,It might be something in the ducts.,routine,no_sale,0
pest control,rodents,dead rodent removal,It might be a rodent or something.,routine,no_sale,0
pest control,rodents,dead rodent removal,Something has died.,urgent,no_sale,0
pest control,rodents,rodent in vehicle,we need a licensed rat path control company to put a couple of base stations outside,routine,callback,1
pest control,rodents,rodent in vehicle,we just have a mice problem in one of our vehicles,routine,no_sale,1
pest control,rodents,rodent in vehicle,help treat mice problems in a vehicle,routine,no_sale,1
pest control,rodents,rodent in vehicle,I wanted to do some dog-friendly pest control for yellow jackets and some mice.,routine,quoted,1
pest control,rodents,rodent in vehicle,"help us get under control and, like, get rid of them",routine,no_sale,1
pest control,rodents,rodent in vehicle,"Carpenter, like, you know, carpenter ants",routine,callback,1
pest control,rodents,rodent in vehicle,I haven't seen anything in carriers.,routine,quoted,1
pest control,rodents,rodent in vehicle,what's your guys' cost to do then?,routine,quoted,1
pest control,rodents,rodent in vehicle,How much would that cost?,routine,callback,1
pest control,rodents,rodent in vehicle,Rodent in car.,unknown,not_connected,0
pest control,rodents,mice and ant control,we need a licensed rat path control company to put a couple of base stations outside,routine,callback,1
pest control,rodents,mice and ant control,I am looking for rodent removal,routine,not_connected,1
pest control,rodents,mice and ant control,"Kitchen for the ants, bathroom for the ants, and mice, my garage.",routine,no_sale,0
pest control,rodents,mice and ant control,How much you charge I'm just getting an estimate first.,routine,not_connected,1
pest control,rodents,mice and ant control,"Carpenter, like, you know, carpenter ants",routine,callback,1
pest control,rodents,mice and ant control,"Sounds here in my basement, my garage.",routine,no_sale,0
pest control,rodents,mice and ant control,I'm seeing mice and ants. in my home,routine,not_connected,1
pest control,rodents,mice and ant control,How much would that cost?,routine,callback,1
pest control,rodents,mice and ant control,Ants and mice.,routine,no_sale,0
pest control,rodents,dead animal removal,"something smelling under, I think it's underneath my deck stairs",urgent,no_sale,0
pest control,rodents,dead animal removal,I have a foul smell coming from the floor vent in my house.,routine,no_sale,0
pest control,rodents,dead animal removal,I need someone to come out and fix it.,urgent,no_sale,0
pest control,rodents,dead animal removal,It might be something in the ducts.,routine,no_sale,0
pest control,rodents,dead animal removal,It might be a rodent or something.,routine,no_sale,0
pest control,rodents,dead animal removal,Something has died.,urgent,no_sale,0
pest control,rodents,rodent and wildlife control,I have mice and occasional rats that get into the basement in the house that I want to get rid of,routine,no_sale,1
pest control,rodents,rodent and wildlife control,I have moles in the yard that make ugly mounds on my grass that I don't like,routine,no_sale,1
pest control,rodents,rodent and wildlife control,I have some kind of a larger creature that has eaten through my cedar fence,routine,no_sale,1
pest control,rodents,rodent and wildlife control,it looked like something had been eating into the wall,routine,no_sale,1
pest control,rodents,rodent and wildlife control,If it's a mouse into the insulation or what,routine,no_sale,1
pest control,rodents,scorpion exclusion,"I'm interested in having someone work on my house to prevent entry of scorpions, exclusion of scorpions.",routine,no_sale,0
pest control,rodents,scorpion exclusion,"My house is located in Torrey, Utah",routine,no_sale,0
pest control,rodents,scorpion exclusion,Scorpion exclusion.,routine,no_sale,0
pest control,rodents,rodent abatement survey,I'm looking for like a demolition rodent abatement survey.,routine,no_sale,0
pest control,rodents,rodent abatement survey,Rodent abatement survey for a fire demolished house.,routine,no_sale,0
pest control,rodents,rodent abatement survey,Rodent abatement survey.,routine,no_sale,0
pest control,rodents,humane mice removal,Removes mice in the humane way.,routine,no_sale,1
pest control,rodents,humane mice removal,a business that removes mice,routine,no_sale,1
pest control,rodents,humane mice removal,we've had them basically in our crawl space and also in the house in winter,routine,no_sale,1
pest control,rodents,snake and rodent control,"possible rodents, moles, voles",routine,not_connected,0
pest control,rodents,snake and rodent control,holes in the flower garden,routine,not_connected,0
pest control,rodents,snake and rodent control,Snakeskin shedding,routine,not_connected,0
pest control,rodents,mice extermination,I'm looking to get a free quote on mice termination.,urgent,booked,0
pest control,rodents,mice extermination,they're getting into cracks in the basement.,urgent,booked,0
pest control,rodents,mice extermination,we're finding mouse droppings like everywhere we look now in the basement,urgent,booked,0
pest control,rodents,yellow jackets and mice,I wanted to do some dog-friendly pest control for yellow jackets and some mice.,routine,quoted,1
pest control,rodents,yellow jackets and mice,I haven't seen anything in carriers.,routine,quoted,1
pest control,rodents,yellow jackets and mice,what's your guys' cost to do then?,routine,quoted,1
pest control,rodents,mice/rat control (recurring),just like we have a bunch of dogs so we want it to be like safe and not poison our dogs,routine,quoted,1
pest control,rodents,mice/rat control (recurring),"on the one house, they're just all over the place",routine,quoted,1
pest control,rodents,mice/rat control (recurring),do you guys help with mice?,routine,quoted,1
pest control,rodents,rodent control (garage),Small rodent in the garage,routine,no_sale,0
pest control,rodents,rodent control (garage),"Rodent, small",routine,no_sale,1
pest control,rodents,rodent control (garage),Oh the garage,routine,no_sale,1
pest control,rodents,wildlife exclusion inspection,I'm just looking for a wildlife exclusion inspection and treatment for the house,routine,no_sale,0
pest control,rodents,wildlife exclusion inspection,We did have a bird in the attic at one point,routine,no_sale,0
pest control,rodents,"rodent control (mice/rats, duplex)","Mice or rat in my garage, and I'm in a duplex",urgent,booked,1
pest control,rodents,"rodent control (mice/rats, duplex)",a spot in the attic that they went in,urgent,booked,1
pest control,rodents,rodent/field rat control,"we have rodents outside in our garden, and I was wondering if you offer any kind of extermination or control",routine,no_sale,1
pest control,rodents,rodent/field rat control,I think they're like field rats or something,routine,no_sale,1
pest control,rodents,rodent damage cleanup / sanitation,an estimate would be for your rodent damage repair,routine,callback,1
pest control,rodents,rodent damage cleanup / sanitation,we're mainly wanting sanitation services,routine,callback,1
pest control,rodents,bugs & mouse (commercial store),It's a store in El Paso that needs service. They have some bugs and a mouse,routine,no_sale,0
pest control,rodents,bugs & mouse (commercial store),We're a third-party maintenance company,routine,no_sale,0
pest control,rodents,squirrel removal (in wall),Squirrels in my wall,routine,no_sale,0
pest control,stinging insects,wasp nest removal,I was calling about a wasp small WASP problem in my exterior windowsill frame of my house,routine,booked,1
pest control,stinging insects,wasp nest removal,trying to see how much it is to get a wasp nest removed from a tree in front of my house,urgent,quoted,1
pest control,stinging insects,wasp nest removal,"They're on the side of the house, and I think they're trying to go into the cracks.",urgent,quoted,1
pest control,stinging insects,wasp nest removal,I just need somebody to go out there and pray and maybe knock down the nest,urgent,booked,1
pest control,stinging insects,wasp nest removal,there is a small lost nest under a deck that I need removed,urgent,no_sale,0
pest control,stinging insects,wasp nest removal,we wanted to know how much it would cost to have it removed,urgent,no_sale,1
pest control,stinging insects,wasp nest removal,We might have some wasps that we need to take care of.,routine,unknown,1
pest control,stinging insects,wasp nest removal,I'm trying to get a quote for wasp removal.,routine,no_sale,0
pest control,stinging insects,wasp nest removal,I have a wasp problem or a yellow jacket,urgent,booked,1
pest control,stinging insects,wasp nest removal,we have a wasp problem in our soffit,routine,no_sale,0
pest control,stinging insects,wasp nest removal,get a treatment to get them removed,routine,callback,1
pest control,stinging insects,wasp nest removal,Backyard wasps and something else,routine,callback,0
pest control,stinging insects,wasp nest removal,I'm just looking for a quote,routine,callback,1
pest control,stinging insects,wasp nest removal,I have a mouse problem.,routine,unknown,1
pest control,stinging insects,wasp nest removal,I have a walk problem,routine,booked,1
pest control,stinging insects,wasp nest removal,what I have in front of my lawn is um what I think are wasps and there's an abundance of them in front of my lawn on the ground,routine,callback,1
pest control,stinging insects,wasp nest removal,I've got a paper wasp nest that is about the size of a bowling ball and it's right over our driveway,routine,quoted,1
pest control,stinging insects,wasp nest removal,"I'm getting ants in my house, and they're getting so bad, they're crawling in my vehicles as well",urgent,quoted,1
pest control,stinging insects,wasp nest removal,"they were going to send a technician out to my house in New Mexico, and they haven't come yet",routine,callback,1
pest control,stinging insects,wasp nest removal,There's a little hole in the exterior window frame in one of the bathrooms in my house,routine,booked,1
pest control,stinging insects,wasp nest removal,"I've got some hornet right by my house, by the door. And I can't get rid of them",routine,callback,1
pest control,stinging insects,wasp nest removal,They're nesting inside of a wall cavity with entrance through an old leap vent.,routine,no_sale,0
pest control,stinging insects,wasp nest removal,we've just been battling a damn wasp mess for a while. We can't get rid of it,routine,booked,1
pest control,stinging insects,wasp nest removal,This is our cottage So we're not here every day So we just noticed this today,routine,callback,1
pest control,stinging insects,wasp nest removal,I have a wasp flying around my car. I think there's a wasp nest in my car,routine,no_sale,0
pest control,stinging insects,wasp nest removal,I was wondering if it's possible to get a Terminix provider out today,urgent,quoted,1
pest control,stinging insects,wasp nest removal,"It's a wasp nest, foot in diameter, outside of the front of a house",routine,booked,1
pest control,stinging insects,wasp nest removal,I have wasps inside of a wooden area under the eaves on a garage,routine,no_sale,0
pest control,stinging insects,wasp nest removal,"I think it may have wasps or yellow jackets, not sure exactly.",urgent,quoted,1
pest control,stinging insects,wasp nest removal,I've got some yellow jackets in my entry to go to my house,routine,callback,1
pest control,stinging insects,wasp nest removal,there is a nest on the first floor right by the entryway,urgent,booked,1
pest control,stinging insects,wasp nest removal,We wanted to see if you could come out and murder them,routine,booked,1
pest control,stinging insects,wasp nest removal,Wasp nests behind my siding on the side of my house.,routine,not_connected,0
pest control,stinging insects,wasp nest removal,We've got some wasps nest with wasps swarming around,routine,no_sale,0
pest control,stinging insects,wasp nest removal,They're going in through a hole in the cedar siding,routine,callback,1
pest control,stinging insects,wasp nest removal,"Wasp, in the door frame of my car when I open it.",routine,no_sale,0
pest control,stinging insects,wasp nest removal,the house has a wasp nest evidently all around it,urgent,booked,1
pest control,stinging insects,wasp nest removal,there's thousands of them everywhere but no nests,routine,quoted,1
pest control,stinging insects,wasp nest removal,I was wondering if y'all treat for ant and waltz,urgent,quoted,1
pest control,stinging insects,wasp nest removal,10 to 15 wasps outside in the eaves of the home,routine,callback,1
pest control,stinging insects,wasp nest removal,right below the roof I'd say about 20 feet high,routine,booked,1
pest control,stinging insects,wasp nest removal,"I'm allergic, so I ain't going nowhere near it",urgent,quoted,1
pest control,stinging insects,wasp nest removal,it's on my deck up on the east truss up there,routine,quoted,1
pest control,stinging insects,wasp nest removal,"Wasp, hive, and ant hive or black ant hive.",routine,no_sale,0
pest control,stinging insects,wasp nest removal,my daughter got stung a couple of weeks ago,urgent,no_sale,0
pest control,stinging insects,wasp nest removal,they appear to be like wasps or harnessed.,routine,no_sale,0
pest control,stinging insects,wasp nest removal,we've got a wasp nest on our hotel resort,routine,no_sale,0
pest control,stinging insects,wasp nest removal,It's a wasp nest located in my front yard,routine,no_sale,0
pest control,stinging insects,wasp nest removal,We just noticed it about three days ago,routine,quoted,1
pest control,stinging insects,wasp nest removal,Wasp nest about the size of a football,routine,no_sale,0
pest control,stinging insects,wasp nest removal,coming out and praying ever so often,routine,no_sale,0
pest control,stinging insects,wasp nest removal,We've got some wasp nests in the eve,routine,no_sale,0
pest control,stinging insects,wasp nest removal,kind of lost maybe a yellow jacket,routine,no_sale,0
pest control,stinging insects,wasp nest removal,I guess just right below the roof.,routine,no_sale,0
pest control,stinging insects,wasp nest removal,this wasp nest is on ground level,urgent,no_sale,1
pest control,stinging insects,wasp nest removal,wasps and dirt daubers and stuff,routine,no_sale,0
pest control,stinging insects,wasp nest removal,I am a homeowner in Port Ludlow,urgent,no_sale,0
pest control,stinging insects,wasp nest removal,We got lost in or wasps or bees,routine,callback,1
pest control,stinging insects,wasp nest removal,spraying for wasps and hornets,routine,quoted,1
pest control,stinging insects,wasp nest removal,hornet's nest or a wasp's nest,urgent,no_sale,0
pest control,stinging insects,wasp nest removal,I have wasps and dirt daubers,routine,no_sale,0
pest control,stinging insects,wasp nest removal,I've got either wasps or bees,routine,callback,1
pest control,stinging insects,wasp nest removal,I think they're in the attic,routine,booked,1
pest control,stinging insects,wasp nest removal,a wasp situation at a house,urgent,booked,1
pest control,stinging insects,wasp nest removal,we want to get rid of them,routine,no_sale,0
pest control,stinging insects,wasp nest removal,we found them in the house,routine,booked,1
pest control,stinging insects,wasp nest removal,do just WASP treatments?,routine,callback,1
pest control,stinging insects,wasp nest removal,A wasp nest in hot tub.,routine,not_connected,1
pest control,stinging insects,wasp nest removal,"Spiders, snakes, wasps.",unknown,not_connected,0
pest control,stinging insects,wasp nest removal,It's underneath my shed,routine,callback,0
pest control,stinging insects,wasp nest removal,we're seeing droppings,routine,unknown,1
pest control,stinging insects,wasp nest removal,it's under the walkway,routine,callback,1
pest control,stinging insects,wasp nest removal,a pre-standing garage,routine,no_sale,0
pest control,stinging insects,wasp nest removal,I think it's a hornet,routine,callback,1
pest control,stinging insects,wasp nest removal,I have a wasp nest.,urgent,no_sale,1
pest control,stinging insects,wasp nest removal,they're pretty big,routine,no_sale,0
pest control,stinging insects,wasp nest removal,Wasps and spiders.,routine,no_sale,0
pest control,stinging insects,wasp nest removal,It's a horse farm,routine,quoted,1
pest control,stinging insects,wasp nest removal,they're allergic,urgent,no_sale,0
pest control,stinging insects,wasp nest removal,"There, my gutter",routine,callback,1
pest control,stinging insects,wasp nest removal,Like the roof.,routine,no_sale,0
pest control,stinging insects,wasp nest removal,"Pets, wasps.",unknown,not_connected,0
